Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
265, The City Beyond the Glass (A Fairy Tale Retold #6), Suzannah  Rowntree, 4.09 avg rating - 94 ratings, 21, 1, https://www.goodreads.com/book/show/38894470-the-city-beyond-the-glass, https://www.goodreads.com/author/show/8132033.Suzannah_Rowntree, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1520283546i/38894470.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520283546i/38894470._SY75_.jpg
266, Beauty of Rosemead (Fairytales of Folkshore #5), Lucy Tempest, 4.33 avg rating - 551 ratings, 20, 1, https://www.goodreads.com/book/show/51284923-beauty-of-rosemead, https://www.goodreads.com/author/show/18234025.Lucy_Tempest, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561626785l/51284923SY75_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561626785l/51284923._SX50_SY75_.jpg
267, Ten Thousand Thorns (A Fairy Tale Retold #5), Suzannah  Rowntree, 4.14 avg rating - 81 ratings, 20, 1, https://www.goodreads.com/book/show/37826744-ten-thousand-thorns, https://www.goodreads.com/author/show/8132033.Suzannah_Rowntree, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1515102711i/37826744.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515102711i/37826744._SY75_.jpg
268, Framed in Florals: A Retelling of Cinderella (The Emerald Realm #3), Abigail Manning, 4.41 avg rating - 98 ratings, 19, 2, https://www.goodreads.com/book/show/60780547-framed-in-florals, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1649528333i/60780547.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649528333i/60780547._SX50_.jpg
269, Thornrose Estate: Northanger Abbey discovers Beauty and the Beast (The Austen Fairy Tale #5), Kendra E. Ardnek, 0.00 avg rating - 0 ratings, 19, 1, https://www.goodreads.com/book/show/60712105-thornrose-estate, https://www.goodreads.com/author/show/5321999.Kendra_E_Ardnek, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1682476606i/60712105.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682476606i/60712105._SY75_.jpg
270, Becoming Hook: A Villainous Peter Pan Retelling (Legends of Neverland #1), Mary Mecham, 4.55 avg rating - 11 ratings, 18, 1, https://www.goodreads.com/book/show/123013381-becoming-hook, https://www.goodreads.com/author/show/21013720.Mary_Mecham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1677390989i/123013381.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677390989i/123013381._SX50_.jpg
271, Masque (Two Monarchies Sequence #3.5), W.R. Gingell, 4.29 avg rating - 1.248 ratings, 18, 1, https://www.goodreads.com/book/show/29481285-masque, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1457672816i/29481285.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457672816i/29481285._SY75_.jpg
272, Dreamer of Briarfell (Fairytales of Folkshore #7), Lucy Tempest, 4.40 avg rating - 417 ratings, 17, 1, https://www.goodreads.com/book/show/54904868-dreamer-of-briarfell, https://www.goodreads.com/author/show/18234025.Lucy_Tempest, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597289184i/54904868.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597289184i/54904868._SY75_.jpg
273, Bearly Free: A Retelling of Goldilocks and the Three Bears (The Emerald Realm #2), Abigail Manning, 4.32 avg rating - 102 ratings, 17, 2, https://www.goodreads.com/book/show/60233854-bearly-free, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1643422198i/60233854.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1643422198i/60233854._SX50_.jpg
274, Spindle (Two Monarchies Sequence #1), W.R. Gingell, 4.07 avg rating - 1.307 ratings, 17, 1, https://www.goodreads.com/book/show/37786997-spindle, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514798460i/37786997.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514798460i/37786997._SY75_.jpg
275, The Faerie Prince (Fairytales of Folkshore #8), Lucy Tempest, 4.30 avg rating - 305 ratings, 16, 1, https://www.goodreads.com/book/show/56655566-the-faerie-prince, https://www.goodreads.com/author/show/18234025.Lucy_Tempest, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610540843i/56655566.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610540843i/56655566._SY75_.jpg
276, Gothel and the Maiden Prince (A Villain's Ever After #8), W.R. Gingell, 4.27 avg rating - 679 ratings, 16, 1, https://www.goodreads.com/book/show/58518629-gothel-and-the-maiden-prince, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625790767i/58518629.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625790767i/58518629._SY75_.jpg
