id, name, link, image, born, web, bio 
11, J.K. Rowling, https://www.goodreads.com/author/show/1077326.J_K_Rowling, https://images.gr-assets.com/authors/1596216614p5/1077326.jpg, Yate* South Gloucestershire* England* The United Kingdom, http://www.jkrowling.com," See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling* pronounced like rolling* her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman* her publishers demanded that she use two initials* rather than her full name. As she had no middle name* she chose K as the second initial of her pen name* from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said* ""No one ever called me 'Joanne' when I was young* unless they were angry."" Following her marriage* she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she "
12, Mark Twain, https://www.goodreads.com/author/show/1244.Mark_Twain, https://images.gr-assets.com/authors/1322103868p5/1244.jpg, Florida* Missouri* The United States, http://www.marktwainproject.org/," Librarian Note: There is more than one author by this name in the Goodreads database.Samuel Langhorne Clemens* better known by his pen name Mark Twain* was an American author and humorist. He is noted for his novels Adventures of Huckleberry Finn (1885)* called ""the Great American Novel""* and The Adventures of Tom Sawyer (1876).Twain grew up in Hannibal* Missouri* which would later provide the setting for Huckleberry Finn and Tom Sawyer. He apprenticed with a printer. He also worked as a typesetter and contributed articles to his older brother Orion's newspaper. After toiling as a printer in various cities* he became a master riverboat pilot on the Mississippi River* before heading west to join Orion. He was a failure at gold mining* so he "
13, Maya Angelou, https://www.goodreads.com/author/show/3503.Maya_Angelou, https://images.gr-assets.com/authors/1379017377p5/3503.jpg, St. Louis* Missouri* The United States, http://www.mayaangelou.com/, Maya Angelou* born Marguerite Ann Johnson April 4* 1928 in St. Louis* Missouri* was an American poet* memoirist* actress and an important figure in the American Civil Rights Movement. In 2001 she was named one of the 30 most powerful women in America by Ladies Home Journal. Maya Angelou is known for her series of six autobiographies* starting with I Know Why the Caged Bird Sings* (1969) which was nominated for a National Book Award and called her magnum opus. Her volume of poetry* Just Give Me a Cool Drink of Water 'Fore I Die (1971) was nominated for the Pulitzer Prize.
14, Elbert Hubbard, https://www.goodreads.com/author/show/114059.Elbert_Hubbard, https://images.gr-assets.com/authors/1216826209p5/114059.jpg, Bloomington* Illinois* The United States,, Elbert Green Hubbard was an American writer* publisher* artist* and philosopher. He was an influential exponent of the Arts and Crafts movement and is* perhaps* most famous for his essay A Message to Garcia.Also known as Fra Elbert Green* for the magazine he edited* Fra.from http://freepages.history.rootsweb.anc...For a more detailed look at this life* see: http://en.wikipedia.org/wiki/Elbert_H...
15, Martin Luther King Jr., https://www.goodreads.com/author/show/23924.Martin_Luther_King_Jr_, https://images.gr-assets.com/authors/1198518558p5/23924.jpg, Atlanta* Georgia* The United States, http://www.thekingcenter.org/, Martin Luther King* Jr. was one of the pivotal leaders of the American civil rights movement. King was a Baptist minister* one of the few leadership roles available to black men at the time. He became a civil rights activist early in his career. He led the Montgomery Bus Boycott (1955–1956) and helped found the Southern Christian Leadership Conference (1957)* serving as its first president. His efforts led to the 1963 March on Washington* where King delivered his “I Have a Dream” speech. Here he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history. In 1964* King became the youngest person to receive the Nobel Peace Prize for his efforts to end segregation and racial 
16, Friedrich Nietzsche, https://www.goodreads.com/author/show/1938.Friedrich_Nietzsche, https://images.gr-assets.com/authors/1651474065p5/1938.jpg, Röcken bei Lützen* Prussian Province of Saxony* Germany, http://plato.stanford.edu/entries/nietzsche/, Friedrich Wilhelm Nietzsche (Ph.D.* Philology* Leipzig University* 1869) was a German philosopher of the late 19th century who challenged the foundations of Christianity and traditional morality. He was interested in the enhancement of individual and cultural health* and believed in life* creativity* power* and the realities of the world we live in* rather than those situated in a world beyond. Central to his philosophy is the idea of “life-affirmation*” which involves a questioning of all doctrines that drain life's expansive energies* however socially prevalent those views might be. Often referred to as one of the first existentialist philosophers along with Søren Kierkegaard (1813–1855). From the Stanford Encyclopedia of Philosophy
17, Ralph Waldo Emerson, https://www.goodreads.com/author/show/12080.Ralph_Waldo_Emerson, https://images.gr-assets.com/authors/1393555704p5/12080.jpg, Boston* Massachusetts* The United States,," Ralph Waldo Emerson was born in Boston in 1803. Educated at Harvard and the Cambridge Divinity School* he became a Unitarian minister in 1826 at the Second Church Unitarian. The congregation* with Christian overtones* issued communion* something Emerson refused to do. ""Really* it is beyond my comprehension*"" Emerson once said* when asked by a seminary professor whether he believed in God. (Quoted in 2*000 Years of Freethought edited by Jim Haught.) By 1832* after the untimely death of his first wife* Emerson cut loose from Unitarianism. During a year-long trip to Europe* Emerson became acquainted with such intelligentsia as British writer Thomas Carlyle* and poets Wordsworth and Coleridge. He returned to the United States in 1833* to a life"
18, Andre Gide, https://www.goodreads.com/author/show/7617.Andr_Gide, https://images.gr-assets.com/authors/1424119198p5/7617.jpg, Paris* France,, André Paul Guillaume Gide was a French author and winner of the Nobel Prize in literature in 1947. Gide's career ranged from its beginnings in the symbolist movement* to the advent of anticolonialism between the two World Wars.Known for his fiction as well as his autobiographical works* Gide exposes to public view the conflict and eventual reconciliation between the two sides of his personality* split apart by a straight-laced education and a narrow social moralism. Gide's work can be seen as an investigation of freedom and empowerment in the face of moralistic and puritan constraints* and gravitates around his continuous effort to achieve intellectual honesty. His self-exploratory texts reflect his search of how to be fully oneself* even t
19, H. Jackson Brown Jr., https://www.goodreads.com/author/show/33394.H_Jackson_Brown_Jr_, https://images.gr-assets.com/authors/1288560924p5/33394.jpg, The United States, http://www.instructionbook.com/bio.html, Date of Birth: 1940H. Jackson Brown* Jr. was an American author best-known for his book Life's Little Instruction Book which was a New York Times bestseller. Before becoming famous as a writer* Brown acted as a creative director of an advertising agency in Nashville* Tennessee. It was simple words of wisdom gathered from other people and his own experiences that made him a best-selling author.Brown first published A Father's Book of Wisdom* which was quickly followed by P.S. I Love You* a collection of sayings and observations from his father and mother. Both were very popular and led to Life's Little Instruction Book* which was originally written as a going-away present for his college-bound son* Adam. This book contained 511 reminders abo
20, Bob Marley, https://www.goodreads.com/author/show/25241.Bob_Marley, https://images.gr-assets.com/authors/1207771636p5/25241.jpg, Nine Mile* Saint Ann* Jamaica, http://www.bobmarley.com/," Robert ""Bob"" Nesta Marley OM was a Jamaican singer* songwriter* guitarist* and activist. He was the frontman* lead singer* songwriter and guitarist for the ska* rocksteady and reggae bands: The Wailers (1964 – 1974) and Bob Marley & the Wailers (1974 - 1981). He is the most widely known performer of ska/reggae music* and is often credited for helping spread Jamaican music to the worldwide audience.Marley's best known hits includes ""I Shot the Sheriff""* ""No Woman* No Cry""* ""Exodus""* ""Could You Be Loved""* ""Stir It Up""* ""Jamming""* ""Redemption Song""* and ""One Love""* as well as the posthumous releases ""Buffalo Soldier"" och ""Iron Lion Zion"". The compilation album* Legend* released in 1984* three years after Marley's death* is the best-selling reg"
21, J.R.R. Tolkien, https://www.goodreads.com/author/show/656983.J_R_R_Tolkien, https://images.gr-assets.com/authors/1648968349p5/656983.jpg, Bloemfontein* Mangaung* Free State* South Africa, http://www.tolkienestate.com/, John Ronald Reuel Tolkien: writer* artist* scholar* linguist. Known to millions around the world as the author of The Lord of the Rings* Tolkien spent most of his life teaching at the University of Oxford where he was a distinguished academic in the fields of Old and Middle English and Old Norse. His creativity* confined to his spare time* found its outlet in fantasy works* stories for children* poetry* illustration and invented languages and alphabets.Tolkien’s most popular works* The Hobbit and The Lord of the Rings are set in Middle-earth* an imagined world with strangely familiar settings inhabited by ancient and extraordinary peoples. Through this secondary world Tolkien writes perceptively of universal human concerns – love and loss* 
22, Jane Austen, https://www.goodreads.com/author/show/1265.Jane_Austen, https://images.gr-assets.com/authors/1651510251p5/1265.jpg, Steventon Rectory* Hampshire* England* The United Kingdom, http://www.janeausten.org/, Jane Austen was an English novelist whose works of romantic fiction* set among the landed gentry* earned her a place as one of the most widely read writers in English literature* her realism and biting social commentary cementing her historical importance among scholars and critics. Austen lived her entire life as part of a close-knit family located on the lower fringes of the English landed gentry. She was educated primarily by her father and older brothers as well as through her own reading. The steadfast support of her family was critical to her development as a professional writer. Her artistic apprenticeship lasted from her teenage years until she was about 35 years old. During this period* she experimented with various literary forms*
23, Marilyn Monroe, https://www.goodreads.com/author/show/82952.Marilyn_Monroe, https://images.gr-assets.com/authors/1436929110p5/82952.jpg, The United States, http://www.marilynmonroe.com/," Marilyn Monroe (born Norma Jeane Mortenson- June 1* 1926 – August 5* 1962) was an American actress* model* and singer* who became a major sex symbol* starring in a number of commercially successful motion pictures during the 1950s and early 1960s.After spending much of her childhood in foster homes* Monroe began a career as a model* which led to a film contract in 1946 with Twentieth Century-Fox. Her early film appearances were minor* but her performances in The Asphalt Jungle and All About Eve (both 1950)* drew attention. By 1952 she had her first leading role in Don't Bother to Knock and 1953 brought a lead in Niagara* a melodramatic film noir that dwelt on her seductiveness. Her ""dumb blonde"" persona was used to comic effect in subsequen"
24, John Green, https://www.goodreads.com/author/show/1406384.John_Green, https://images.gr-assets.com/authors/1353452301p5/1406384.jpg, Indianapolis* The United States, http://www.johngreenbooks.com/, Librarian Note: There is more than one author in the Goodreads database with this name.John Green's first novel* Looking for Alaska* won the 2006 Michael L. Printz Award presented by the American Library Association. His second novel* An Abundance of Katherines* was a 2007 Michael L. Printz Award Honor Book and a finalist for the Los Angeles Times Book Prize. His next novel* Paper Towns* is a New York Times bestseller and won the Edgar Allen Poe Award for Best YA Mystery. In January 2012* his most recent novel* The Fault in Our Stars* was met with wide critical acclaim* unprecedented in Green's career. The praise included rave reviews in Time Magazine and The New York Times* on NPR* and from award-winning author Markus Zusak. The book also 
25, Neil Gaiman, https://www.goodreads.com/author/show/1221698.Neil_Gaiman, https://images.gr-assets.com/authors/1234150163p5/1221698.jpg, ,, null
26, William Shakespeare, https://www.goodreads.com/author/show/947.William_Shakespeare, https://images.gr-assets.com/authors/1654446514p5/947.jpg, Stratford-upon-Avon* Warwickshire* England,," William Shakespeare (baptised 26 April 1564) was an English poet and playwright* widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" (or simply ""The Bard""). His surviving works consist of 38 plays* 154 sonnets* two long narrative poems* and several other poems. His plays have been translated into every major living language* and are performed more often than those of any other playwright.Shakespeare was born and raised in Stratford-upon-Avon. Scholars believe that he died on his fifty-second birthday* coinciding with St George’s Day.At the age of 18 he married Anne Hathaway* who bore him three children: Susanna* and twins Hamn"
27, Maurice Switzer, https://www.goodreads.com/author/show/2868190.Maurice_Switzer, https://images.gr-assets.com/authors/1534627057p5/2868190.jpg, New Orleans* Louisiana* The United States,, null
28, Allen Saunders, https://www.goodreads.com/author/show/276029.Allen_Saunders, https://images.gr-assets.com/authors/1368887014p5/276029.jpg, The United States,, Allen Saunders was an American writer* journalist and cartoonist who wrote the comic strips Steve Roper and Mike Nomad* Mary Worth and Kerry Drake. His full name* John Allen Saunders* sometimes led to confusion with his son John (John Phillip Saunders* 1924–2003)* who later continued two of his father's strips.Born in Lebanon* Indiana* Saunders enjoyed newspaper comics as a youth* and he practiced drawing them. After graduating from Wabash College in 1920* he taught French there for seven years while working in the summers on his M.A. at the University of Chicago and taking night classes at the Chicago Academy of Fine Arts. He drew editorial cartoons and the single-panel Miserable Moments* wrote detective fiction for magazines* worked in Ch
29, Bill Keane, https://www.goodreads.com/author/show/3230608.Bil_Keane, https://images.gr-assets.com/authors/1320885123p5/3230608.jpg, Philadelphia* Pennsylvania* The United States, http://www.familycircus.com/, William Aloysius Keane* better known as Bil Keane* was an American cartoonist notable for his work on the long-running newspaper comic The Family Circus* which began its run in 1960 and continues in syndication.
30, Thomas A. Edison, https://www.goodreads.com/author/show/3091287.Thomas_A_Edison, https://images.gr-assets.com/authors/1400354079p5/3091287.jpg, Milan* Ohio* The United States,," Thomas Alva Edison was an American inventor* scientist and businessman who developed many devices that greatly influenced life around the world* including the phonograph* the motion picture camera* and a long-lasting* practical electric light bulb. Dubbed ""The Wizard of Menlo Park"" (now Edison* New Jersey) by a newspaper reporter* he was one of the first inventors to apply the principles of mass production and large teamwork to the process of invention* and therefore is often credited with the creation of the first industrial research laboratory.Edison is considered one of the most prolific inventors in history* holding 1*093 U.S. patents in his name* as well as many patents in the United Kingdom* France and Germany. He is credited with num"
31, Elie Wiesel, https://www.goodreads.com/author/show/1049.Elie_Wiesel, https://images.gr-assets.com/authors/1255518412p5/1049.jpg, Sighet* Romania, http://www.eliewieselfoundation.org/," Eliezer Wiesel was a Romania-born American novelist* political activist* and Holocaust survivor of Hungarian Jewish descent. He was the author of over 40 books* the best known of which is Night* a memoir that describes his experiences during the Holocaust and his imprisonment in several concentration camps.Wiesel was awarded the Nobel Peace Prize in 1986. The Norwegian Nobel Committee called him a ""messenger to mankind*"" noting that through his struggle to come to terms with ""his own personal experience of total humiliation and of the utter contempt for humanity shown in Hitler's death camps*"" as well as his ""practical work in the cause of peace*"" Wiesel has delivered a powerful message ""of peace* atonement and human dignity"" to humanity.On"
32, Eleanor Roosevelt, https://www.goodreads.com/author/show/44566.Eleanor_Roosevelt, https://images.gr-assets.com/authors/1536173756p5/44566.jpg, The United States,, Anna Eleanor Roosevelt was an American political leader who used her influence as an active First Lady from 1933 to 1945 to promote the New Deal policies of her husband* President Franklin D. Roosevelt* as well as taking a prominent role as an advocate for civil rights. After her husband's death in 1945* she continued to be an internationally prominent author and speaker for the New Deal coalition. She was a suffragist who worked to enhance the status of working women* although she opposed the Equal Rights Amendment because she believed it would adversely affect women. In the 1940s* she was one of the co-founders of Freedom House and supported the formation of the United Nations. Eleanor Roosevelt founded the UN Association of the United St
33, Pablo Neruda, https://www.goodreads.com/author/show/4026.Pablo_Neruda, https://images.gr-assets.com/authors/1651474656p5/4026.jpg, Parral* Chile,," Pablo Neruda was the pen name and* later* legal name of the Chilean writer and politician Neftalí Ricardo Reyes Basoalto. Neruda assumed his pen name as a teenager* partly because it was in vogue* partly to hide his poetry from his father* a rigid man who wanted his son to have a ""practical"" occupation. Neruda's pen name was derived from Czech writer and poet Jan Neruda- Pablo is thought to be from Paul Verlaine. With his works translated into many languages* Pablo Neruda is considered one of the greatest and most influential poets of the 20th century.Neruda was accomplished in a variety of styles* ranging from erotically charged love poems like his collection Twenty Poems of Love and a Song of Despair* surrealist poems* historical epics* a"
34, douglas adams, https://www.goodreads.com/author/show/4.Douglas_Adams, https://images.gr-assets.com/authors/1616277702p5/4.jpg, Cambridge* England* The United Kingdom, http://www.douglasadams.com/," Douglas Noël Adams was an English author* comic radio dramatist* and musician. He is best known as the author of the Hitchhiker's Guide to the Galaxy series. Hitchhiker's began on radio* and developed into a ""trilogy"" of five books (which sold more than fifteen million copies during his lifetime) as well as a television series* a comic book series* a computer game* and a feature film that was completed after Adams' death. The series has also been adapted for live theatre using various scripts- the earliest such productions used material newly written by Adams. He was known to some fans as Bop Ad (after his illegible signature)* or by his initials ""DNA"".In addition to The Hitchhiker's Guide to the Galaxy* Douglas Adams wrote or co-wrote "
35, Groucho Marx, https://www.goodreads.com/author/show/43244.Groucho_Marx, https://images.gr-assets.com/authors/1198590177p5/43244.jpg, New York * New York* The United States,," Julius Henry ""Groucho"" Marx* was an American comedian and film star. He is famed as a master of wit. He made 15 feature films with his siblings* the Marx Brothers* and also had a successful solo career* most notably as the host of the radio and television game show* You Bet Your Life. He had a distinctive image* which included a heavy greasepaint moustache and eyebrows* and glasses."
36, Steve Martin, https://www.goodreads.com/author/show/7103.Steve_Martin, https://images.gr-assets.com/authors/1585425013p5/7103.jpg, Waco* Texas* The United States, http://stevemartin.com," Stephen Glenn ""Steve"" Martin is an American actor* comedian* writer* playwright* producer* musician* and composer. He was raised in Southern California in a Baptist family* where his early influences were working at Disneyland and Knott's Berry Farm and working magic and comedy acts at these and other smaller venues in the area. His ascent to fame picked up when he became a writer for the Smothers Brothers Comedy Hour* and later became a frequent guest on the Tonight Show.In the 1970s* Martin performed his offbeat* absurdist comedy routines before packed houses on national tours. In the 1980s* having branched away from stand-up comedy* he became a successful actor* playwright* and juggler* and eventually earned Emmy* Grammy* and American Co"
37, George R.R. Martin, https://www.goodreads.com/author/show/346732.George_R_R_Martin, https://images.gr-assets.com/authors/1649011787p5/346732.jpg, Bayonne* New Jersey* The United States, http://www.georgerrmartin.com/," George Raymond Richard ""R.R."" Martin was born September 20* 1948* in Bayonne* New Jersey. His father was Raymond Collins Martin* a longshoreman* and his mother was Margaret Brady Martin. He has two sisters* Darleen Martin Lapinski and Janet Martin Patten. Martin attended Mary Jane Donohoe School and Marist High School. He began writing very young* selling monster stories to other neighborhood children for pennies* dramatic readings included. Later he became a comic book fan and collector in high school* and began to write fiction for comic fanzines (amateur fan magazines). Martin's first professional sale was made in 1970 at age 21: The Hero* sold to Galaxy* published in February* 1971 issue. Other sales followed. In 1970 Martin received a "
38, Lao Tzu, https://www.goodreads.com/author/show/2622245.Lao_Tzu, https://images.gr-assets.com/authors/1435903703p5/2622245.jpg, China,," Lao Tzu (Chinese: 老子- pinyin: Lǎozǐ- Wade-Giles: Laosi- also Laozi* Lao Tse* Lao Tu* Lao-Tsu* Laotze* Laosi* Lao Zi* Laocius* Lao Ce* and other variations) was a mystic philosopher of ancient China* best known as the author of the Tao Te Ching (often simply referred to as Laozi). His association with the Tao Te Ching has led him to be traditionally considered the founder of Taoism (pronounced as ""Daoism""). He is also revered as a deity in most religious forms of the Taoist religion* which often refers to Laozi as Taishang Laojun* or ""One of the Three Pure Ones"". Laozi translated literally from Chinese means ""old master"" or ""old one""* and is generally considered honorific.According to Chinese tradition* Laozi lived in the 6th century BCE. Hi"
39, Kent M. Keith, https://www.goodreads.com/author/show/271599.Kent_M_Keith, https://images.gr-assets.com/authors/1568661067p5/271599.jpg, The United States,," Kent M. Keith was born in New York and studied at Harvard* Oxford University* Waseda University in Tokyo* the University of Hawaii and the University of Southern California. He is a Rhodes Scholar.Dr. Keith is known nationally and internationally as the author of the Paradoxical Commandments* which he wrote and published in 1968 in a booklet for student leaders entitled* The Silent Revolution: Dynamic Leadership in the Student Council. His books* ""Anyway: The Paradoxical Commandments*"" ""Do It Anyway: The Handbook for Finding Personal Meaning and Deep Happiness in a Crazy World"" and "" Jesus Did It Anyway: The Paradoxical Commandments for Christians"" discuss these concepts.Dr. Keith practiced law and worked for the State of Hawaii Departm"
40, George Eliot, https://www.goodreads.com/author/show/173.George_Eliot, https://images.gr-assets.com/authors/1596202587p5/173.jpg, South Farm* Arbury Hall* Nuneaton* Warwickshire* England,," Mary Ann Evans* known by her pen name George Eliot* was an English novelist* poet* journalist* translator and one of the leading writers of the Victorian era. She was born in 1819 at a farmstead in Nuneaton* Warwickshire* England* where her father was estate manager. Mary Ann* the youngest child and a favorite of her father's* received a good education for a young woman of her day. Influenced by a favorite governess* she became a religious evangelical as an adolescent. Her first published work was a religious poem. Through a family friend* she was exposed to Charles Hennell's ""An Inquiry into the Origins of Christianity"". Unable to believe* she conscientiously gave up religion and stopped attending church. Her father shunned her* sending th"
41, Mother Teresa, https://www.goodreads.com/author/show/838305.Mother_Teresa, https://images.gr-assets.com/authors/1263888735p5/838305.jpg, Skopje* North Macedonia, http://www.motherteresa.org/, Mother Mary Teresa Bojaxhiu[6] (born Anjezë Gonxhe Bojaxhiu* Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]- 26 August 1910 – 5 September 1997)* honoured in the Catholic Church as Saint Teresa of Calcutta*[7] was an Albanian-Indian[4] Roman Catholic nun and missionary.[8] She was born in Skopje (now the capital of North Macedonia)* then part of the Kosovo Vilayet of the Ottoman Empire. After living in Skopje for eighteen years* she moved to Ireland and then to India* where she lived for most of her life.In 1950* Teresa founded the Missionaries of Charity* a Roman Catholic religious congregation that had over 4*500 nuns and was active in 133 countries in 2012. The congregation manages homes for people who are dying of HIV/AIDS* leprosy and tuberculosi
42, Sarah Dessen, https://www.goodreads.com/author/show/2987.Sarah_Dessen, https://images.gr-assets.com/authors/1372181953p5/2987.jpg, Illinois* The United States, http://www.sarahdessen.com/, null
43, Robert A. Heinlein, https://www.goodreads.com/author/show/205.Robert_A_Heinlein, https://images.gr-assets.com/authors/1192826560p5/205.jpg, Butler* Missouri* The United States,," Works of American science-fiction writer Robert Anson Heinlein include Stranger in a Strange Land (1961) and The Moon Is a Harsh Mistress (1966). People often call this novelist ""the dean of science fiction writers""* one of the most popular* influential* and controversial authors of ""hard science fiction."" He set a high standard for science and engineering plausibility and helped to raise the standards of literary quality of the genre. He was the first science-fiction writer to break into mainstream* general magazines such as The Saturday Evening Post* in the late 1940s. He was also among the first authors of bestselling* novel-length science fiction in the modern* mass-market era. Also wrote under Pen names: Anson McDonald* Lyle Mo"
44, Haruki Murakami, https://www.goodreads.com/author/show/3354.Haruki_Murakami, https://images.gr-assets.com/authors/1615497402p5/3354.jpg, Kyoto* Japan, http://www.harukimurakami.com, Murakami Haruki (Japanese: 村上 春樹) is a popular contemporary Japanese writer and translator. His work has been described as 'easily accessible* yet profoundly complex'. He can be located on Facebook at: https://www.facebook.com/harukimuraka...Since childhood* Murakami has been heavily influenced by Western culture* particularly Western music and literature. He grew up reading a range of works by American writers* such as Kurt Vonnegut and Richard Brautigan* and he is often distinguished from other Japanese writers by his Western influences.Murakami studied drama at Waseda University in Tokyo* where he met his wife* Yoko. His first job was at a record store* which is where one of his main characters* Toru Watanabe in Norwegian Wood* works. Sh
